Date,Price
4/5/2021,2.385
4/2/2021,2.362
4/1/2021,2.351
3/31/2021,2.386
3/30/2021,2.385
3/29/2021,2.382
3/26/2021,2.359
3/25/2021,2.395
3/24/2021,2.346
3/23/2021,2.389
3/22/2021,2.408
3/19/2021,2.431
3/18/2021,2.412
3/17/2021,2.42
3/16/2021,2.376
3/15/2021,2.362
3/12/2021,2.359
3/11/2021,2.393
3/10/2021,2.332
3/9/2021,2.388
3/8/2021,2.365
3/5/2021,2.343
3/4/2021,2.377
3/3/2021,2.295
3/2/2021,2.304
3/1/2021,2.335
2/26/2021,2.355
2/25/2021,2.31
2/24/2021,2.27
2/23/2021,2.276
2/22/2021,2.243
2/19/2021,2.221
2/18/2021,2.254
2/17/2021,2.209
2/16/2021,2.217
2/15/2021,2.217
2/12/2021,2.217
2/11/2021,2.051
2/10/2021,2.217
2/9/2021,2.273
2/8/2021,2.268
2/5/2021,2.247
2/4/2021,2.251
2/3/2021,2.295
2/2/2021,2.302
2/1/2021,2.279
1/29/2021,2.304
1/28/2021,2.315
1/27/2021,2.23
1/26/2021,2.231
1/25/2021,2.207
1/22/2021,2.188
1/21/2021,2.188
1/20/2021,2.212
1/19/2021,2.06
1/18/2021,2.197
1/15/2021,2.207
1/14/2021,2.322
1/13/2021,2.331
1/12/2021,2.384
1/11/2021,2.402
1/8/2021,2.436
1/7/2021,2.422
1/6/2021,2.427
1/5/2021,2.415
1/4/2021,2.432
12/31/2020,2.451
12/30/2020,2.419
12/29/2020,2.31
12/28/2020,2.322
12/25/2020,2.307
12/24/2020,2.284
12/23/2020,2.302
12/22/2020,2.293
12/21/2020,2.337
12/18/2020,2.33
12/17/2020,2.315
12/16/2020,2.322
12/15/2020,2.296
12/14/2020,2.346
12/11/2020,2.371
12/10/2020,2.339
12/9/2020,2.392
12/8/2020,2.385
12/7/2020,2.361
12/4/2020,2.379
12/3/2020,2.394
12/2/2020,2.42
12/1/2020,2.42
11/30/2020,2.421
11/27/2020,2.434
11/26/2020,2.38
11/25/2020,2.493
11/24/2020,2.514
11/23/2020,2.53
11/20/2020,2.536
11/19/2020,2.542
11/18/2020,2.538
11/17/2020,2.568
11/16/2020,2.564
11/13/2020,2.576
11/12/2020,2.57
11/11/2020,2.554
11/10/2020,2.577
11/9/2020,2.589
11/6/2020,2.575
11/5/2020,2.557
11/4/2020,2.592
11/3/2020,2.592
11/2/2020,2.6
10/30/2020,2.574
10/29/2020,2.604
10/28/2020,2.569
10/27/2020,2.546
10/26/2020,2.551
10/23/2020,2.553
10/22/2020,2.563
10/21/2020,2.561
10/20/2020,2.54
10/19/2020,2.567
10/16/2020,2.549
10/15/2020,2.539
10/14/2020,2.541
10/13/2020,2.545
10/12/2020,2.539
10/9/2020,2.529
10/8/2020,2.5
10/7/2020,2.502
10/6/2020,2.517
10/5/2020,2.488
10/2/2020,2.458
10/1/2020,2.526
9/30/2020,2.743
9/29/2020,2.756
9/28/2020,2.767
9/25/2020,2.771
9/24/2020,2.793
9/23/2020,2.775
9/22/2020,2.772
9/21/2020,2.777
9/18/2020,2.803
9/17/2020,2.82
9/16/2020,2.824
9/15/2020,2.834
9/14/2020,2.843
9/11/2020,2.878
9/10/2020,2.904
9/9/2020,2.918
9/8/2020,2.914
9/7/2020,2.922
9/4/2020,2.914
9/3/2020,2.922
9/2/2020,2.86
9/1/2020,2.91
8/31/2020,2.873
8/28/2020,2.882
8/27/2020,2.89
8/26/2020,2.893
8/25/2020,2.896
8/24/2020,2.9
8/21/2020,2.886
8/20/2020,2.902
8/19/2020,2.894
8/18/2020,2.888
8/17/2020,2.888
8/14/2020,2.889
8/13/2020,2.897
8/12/2020,2.867
8/11/2020,2.877
8/10/2020,2.869
8/7/2020,2.885
8/6/2020,2.871
8/5/2020,2.86
8/4/2020,2.901
8/3/2020,2.97
7/31/2020,2.966
7/30/2020,2.987
7/29/2020,3.057
7/28/2020,2.948
7/27/2020,2.907
7/24/2020,2.886
7/23/2020,2.909
7/22/2020,2.867
7/21/2020,2.897
7/20/2020,2.901
7/17/2020,2.881
7/16/2020,2.891
7/15/2020,2.83
7/14/2020,2.844
7/13/2020,2.911
7/10/2020,2.919
7/9/2020,2.919
7/8/2020,2.954
7/7/2020,2.957
7/6/2020,2.993
7/3/2020,3.007
7/2/2020,2.997
7/1/2020,3.019
6/30/2020,3.033
6/29/2020,3.043
6/26/2020,3.026
6/25/2020,3.019
6/24/2020,3.056
6/23/2020,3.055
6/22/2020,3.062
6/19/2020,3.069
6/18/2020,3.039
6/17/2020,3.071
6/16/2020,3.059
6/15/2020,3.073
6/12/2020,3.067
6/11/2020,3.059
6/10/2020,3.08
6/9/2020,3.113
6/8/2020,3.121
6/5/2020,3.096
6/4/2020,3.091
6/3/2020,3.101
6/2/2020,3.122
6/1/2020,3.126
5/29/2020,3.146
5/28/2020,3.158
5/27/2020,3.083
5/26/2020,3.053
5/25/2020,3.058
5/22/2020,3.026
5/21/2020,2.919
5/20/2020,2.951
5/19/2020,2.921
5/18/2020,2.999
5/15/2020,3.01
5/14/2020,3
5/13/2020,2.918
5/12/2020,2.946
